sales_number;car_vin;cost;sales_date                                                                                                                                                                   
24#81;6LRNH9M93EA566484;2897.93;2021-10-26                                                                                                                                                             
24#82;5FEON9Y33NY166000;4326.03;2023-08-21                                                                                                                                                             
24#83;9CLAD6R22LL571417;7119.35;2023-04-26                                                                                                                                                             
24#84;0ZWKM6Z02AN999495;3979.61;2022-06-02                                                                                                                                                             
24#85;5ZYPF0Q89TS288077;2813.12;2024-05-24                                                                                                                                                             
24#86;6AHCN9W15MW365727;4093.41;2020-11-21                                                                                                                                                             
24#87;3TWCH4B96VA523845;7792.06;2021-04-27                                                                                                                                                             
24#88;5MGQS9T60NJ868020;3224.24;2024-08-04                                                                                                                                                             
24#89;4NRLF3Y46HN803039;3888.17;2020-06-23                                                                                                                                                             
24#90;1UIOD9U02KB962071;3371.26;2023-04-28                                                                                                                                                             
24#91;9LCRJ4C16TM777162;2485.38;2022-12-20                                                                                                                                                             
24#92;4NZJM5W26ZW775325;4665.16;2022-09-27                                                                                                                                                             
24#93;2EMAB6S52UD484267;3820.03;2021-10-01                                                                                                                                                             
24#94;0SRTG0Q84OK795131;5883.57;2021-04-09                                                                                                                                                             
24#95;8EDMC7O18CB562976;6093.09;2022-11-24                                                                                                                                                             
24#96;2LVND6N67JM322546;3210.29;2023-12-01                                                                                                                                                             
24#97;2NCKM1N23KC498345;5863.72;2020-07-22                                                                                                                                                             
24#98;1GMSS1P67XT174237;4445.5;2020-08-28                                                                                                                                                              
24#99;7XZFK0C63QS438788;6288.44;2022-10-06                                                                                                                                                             
24#100;0LZLS6Q55KS216282;2819.5;2020-02-23                                                                                                                                                             
24#101;8IOQA7H29YN090977;3820.72;2021-05-23                                                                                                                                                            
24#102;7DVEF1D04EA527638;3034.73;2020-12-22                                                                                                                                                            
24#103;6KIMY5T50DB948041;6319.04;2020-02-04                                                                                                                                                            
24#104;5QOYV3V89EA114726;3138.64;2024-06-28                                                                                                                                                            
24#105;4JZGX8T35UI825067;7295.92;2020-05-25                                                                                                                                                            
24#106;2WINC8C53AE771029;2592.73;2023-05-08                                                                                                                                                            
24#107;0BPDU2O42HB796643;7386.46;2021-12-22                                                                                                                                                            
24#108;9AJLW3P76YG492835;4906.25;2024-01-22                                                                                                                                                            
24#109;7QYWY4I72BT774722;3137.96;2021-09-19                                                                                                                                                            
24#110;8GPPZ5J17RW801172;5674.26;2024-03-02                                                                                                                                                            
24#111;8BMWK9A22JA885964;5559.71;2024-02-05                                                                                                                                                            
24#112;4WUKT6W08VH328424;3218.01;2023-04-13                                                                                                                                                            
24#113;9JDWC7Q99RI291783;5177.95;2024-01-28                                                                                                                                                            
24#114;6JNOQ1R88TM787070;2880.25;2023-01-13                                                                                                                                                            
24#115;3JHEI7H91UV174297;3928.27;2021-05-14                                                                                                                                                            
24#116;9NAAD1S26SZ789802;3380.13;2020-08-11                                                                                                                                                            
24#117;9BYEK3Z70BM657407;7122.89;2020-12-07                                                                                                                                                            
24#118;1NYPQ5S64KT313495;6224.2;2022-11-08                                                                                                                                                             
24#119;7OWEU6J46HY389178;5488.56;2024-02-24                                                                                                                                                            
24#120;5PMHU3B96TU364193;6398.22;2020-04-04                                                                                                                                                            
24#121;2ZFOG4R50US604941;3323.2;2023-03-19                                                                                                                                                             
24#122;9BPLI3E23TQ966451;4486.27;2023-07-01                                                                                                                                                            
24#123;6ITPV4L37VV749249;5149.18;2024-12-28                                                                                                                                                            
24#124;8ZXVT8W62SP029364;4161.4;2023-12-23                                                                                                                                                             
24#125;9XSMO5B33LE944484;4433.72;2021-12-22                                                                                                                                                            
24#126;1OHVG0H49HS118846;5170.04;2021-11-03                                                                                                                                                            
24#127;1UPSK7Y08HU851423;3297.19;2024-08-23                                                                                                                                                            
24#128;9BLNZ9F26AA620573;5485.25;2020-08-23                                                                                                                                                            
24#129;8VLMQ2M01SM125290;4080.59;2022-02-05                                                                                                                                                            
24#130;8AVIS1S70JC270763;2976.11;2021-08-18                                                                                                                                                            
24#131;0VCJQ2G27EQ884332;3605.93;2023-01-14                                                                                                                                                            
24#132;3MTIB5S09WJ184503;2993.39;2023-05-02                                                                                                                                                            
24#133;4IHJX3O03TH583507;5561.2;2024-01-06                                                                                                                                                             
24#134;2OXYU0H32QK307403;4237.46;2024-06-28                                                                                                                                                            
24#135;1SYDC6N76VY562378;4573.8;2023-02-05                                                                                                                                                             
24#136;7OWFV0Y09QA381730;3800.46;2023-07-03                                                                                                                                                            
24#137;2HNOB1V67PC613273;7488.73;2024-03-01                                                                                                                                                            
24#138;5PAMT3C00YN797343;2897.72;2020-06-12                                                                                                                                                            
24#139;3UNNH7C55PC863715;3328.42;2021-09-13                                                                                                                                                            
24#140;8UWJM8I04ZA385070;4786.77;2021-05-02                                                                                                                                                            
24#141;9STXE9X36IB071565;4420.31;2022-11-21                                                                                                                                                            
24#142;5FDCG9M11IK092210;4125.12;2024-06-02                                                                                                                                                            
24#143;1VHUQ6P01SE288071;4301.31;2024-12-10                                                                                                                                                            
24#144;0PLCI2I55JL383202;5537.72;2020-01-19                                                                                                                                                            
24#145;4CPKM1W74LF777592;4677.15;2023-02-23                                                                                                                                                            
24#146;0DNKB5M66IX955231;6043.13;2020-07-09                                                                                                                                                            
24#147;5LNFX9S65GU696343;5749.16;2024-02-26                                                                                                                                                            
24#148;9ZVDL3R04GX076777;3017.01;2021-08-25                                                                                                                                                            
24#149;9WRAX7I00UF789516;4300.18;2022-08-10                                                                                                                                                            
24#150;1FVFR7R15HD067444;6700.01;2022-03-06                                                                                                                                                            
24#151;1EVJQ5N54FN837914;7003.89;2021-08-03                                                                                                                                                            
24#152;8EPGN7U50QJ342961;6316.69;2021-04-02                                                                                                                                                            
24#153;6AEOB5H60UJ387883;5165.35;2021-04-30                                                                                                                                                            
24#154;8DJNX9T77XE462622;3653.33;2024-07-19                                                                                                                                                            
24#155;7KKTY9Y32GU097315;5318.86;2021-07-24                                                                                                                                                            
24#156;4TWMM1Z22MG912676;6221.37;2023-09-16                                                                                                                                                            
24#157;5EUHH6C58LW847676;2828.52;2024-10-07                                                                                                                                                            
24#158;1EKIW5W96OI544764;4036.98;2024-03-18                                                                                                                                                            
24#159;2JWLQ5R57WK243484;4630.82;2020-11-10                                                                                                                                                            
24#160;0WIJN4V40DF441056;2738.53;2022-07-15                                                                                                                                                            
24#161;2ESYC9I58VT017480;3034.8;2021-06-06                                                                                                                                                             
24#162;5WDVC9Z53EC043244;7318.13;2023-12-01                                                                                                                                                            
24#163;9OBTK7C77PH316861;5365.34;2023-02-21                                                                                                                                                            
24#164;8ALGE1B36UT479985;3717.63;2022-09-20                                                                                                                                                            
24#165;0HFLA5A86JC499830;5372.34;2023-07-18                                                                                                                                                            
24#166;1WWSX6R63EH132823;4527.05;2022-11-03                                                                                                                                                            
24#167;3RFIZ3X39MM018402;6193.27;2020-06-30                                                                                                                                                            
24#168;8VRUF6B46OT506414;5229.89;2024-10-25                                                                                                                                                            
24#169;4TEMX8D49GU697080;4459.5;2024-09-08                                                                                                                                                             
24#170;0WMEL9T87BQ404763;4624.19;2020-11-09                                                                                                                                                            
24#171;4QRNX7J49YI472186;4175.97;2021-07-08                                                                                                                                                            
24#172;7JLFN7S69SA231115;3480.3;2021-05-06                                                                                                                                                             
24#173;2BLDC3V04DC970033;4827.88;2022-06-14                                                                                                                                                            
24#174;6UNDT4S66TP778821;3404.57;2022-03-18                                                                                                                                                            
24#175;9FUQS4O73UE267079;5825.85;2023-04-24                                                                                                                                                            
24#176;6HZNT2O61HI083918;7012.89;2024-08-12                                                                                                                                                            
24#177;5ENGH2B03BN324502;2964.5;2021-11-22                                                                                                                                                             
24#178;1MDLN5F86EF415021;4395.94;2021-01-13                                                                                                                                                            
24#179;3EHJY7C65PX187157;5062.97;2023-06-10                                                                                                                                                            
24#180;3SFPO7Q21OY510052;3019.59;2021-11-26                                                                                                                                                            
24#181;6IEQY1X16GI299831;2309.06;2024-05-04                                                                                                                                                            
24#182;3JEIG4J04QL290282;6291.73;2021-04-05                                                                                                                                                            
24#183;3ZELP5M82SU743429;5059.74;2024-11-05                                                                                                                                                            
24#184;5OXBY0T61RF637857;4989.34;2022-04-17                                                                                                                                                            
24#185;5RQCS2S47TQ036736;4769.37;2024-08-29                                                                                                                                                            
24#186;5XZIH3L63TJ265346;5029.55;2021-01-13                                                                                                                                                            
24#187;5ZDOW1Z70OI969061;5253.56;2021-02-19                                                                                                                                                            
24#188;8UPMA9J23QD796378;3932.48;2020-05-17                                                                                                                                                            
24#189;0UBVI5V37UO060316;4090.61;2024-09-08                                                                                                                                                            
24#190;0EKDC3C63QE990583;2601.02;2022-09-04                                                                                                                                                            
24#191;4ZRGX1E26PK398053;6372.83;2024-01-17                                                                                                                                                            
24#192;3KRTV2C89UW224570;5098.22;2020-07-28                                                                                                                                                            
24#193;9KLYS8G65SL829812;6909.59;2023-07-21                                                                                                                                                            
24#194;8WBPN3U62KY123232;2309.91;2023-11-15                                                                                                                                                            
24#195;7CVQJ8W45WV873951;4006.64;2022-04-18                                                                                                                                                            
24#196;6CLTZ1R50NW948345;4335.73;2023-11-13                                                                                                                                                            
24#197;5VKEW4D72CH524798;2768.11;2023-04-06                                                                                                                                                            
24#198;8KYUV2C40RF117694;4493.11;2021-11-14                                                                                                                                                            
24#199;7EHGY6V71HC434734;2446.96;2024-11-04                                                                                                                                                            
24#200;0UOAS7C82PZ166652;2978.17;2023-06-17                                                                                                                                                            
24#201;8OZBG3R59KL332789;6139.67;2021-06-03                                                                                                                                                            
24#202;3YMKJ0F15QL959831;3673.66;2024-05-26                                                                                                                                                            
24#203;7GAUS1E53BF169796;4323.7;2020-10-26                                                                                                                                                             
24#204;3YDGP4M38JE133371;3254.62;2022-02-06                                                                                                                                                            
24#205;2WOEP2Q16IO924040;4067.01;2020-05-26                                                                                                                                                            
24#206;2YACV3Q45BC634506;6894.62;2021-10-12                                                                                                                                                            
24#207;8JZKT8C15KU586107;4925.99;2021-04-19                                                                                                                                                            
24#208;2IQNS1W27YY390426;3597.29;2020-11-07                                                                                                                                                            
24#209;5QERB5G31YJ492031;3792.13;2024-11-15                                                                                                                                                            
24#210;2DWQV1B35WV482224;3330.48;2024-01-23                                                                                                                                                            
24#211;5BTQD2D10AA794640;5840.01;2023-07-04                                                                                                                                                            
24#212;6DUTN1E03GR806522;6410.45;2023-05-17                                                                                                                                                            
24#213;4SAVB3O89PO406135;2966.41;2022-09-21                                                                                                                                                            
24#214;8KQDF1K95PT387880;4920.87;2023-09-16                                                                                                                                                            
24#215;4VGML3H76AH748860;2226.08;2021-11-23                                                                                                                                                            
24#216;1WTRD9K47HA085515;2269.45;2022-05-09                                                                                                                                                            
24#217;1THHY8E28CC548675;4488.66;2020-05-22                                                                                                                                                            
24#218;8UJGV5A61FE946311;2807.3;2024-06-26                                                                                                                                                             
24#219;8LZKQ9W03WZ990966;4957.21;2021-06-10                                                                                                                                                            
24#220;6HJAB1Y39JD031583;3822.49;2023-03-27                                                                                                                                                            
24#221;4VGAF0H06EK982827;5469.31;2020-12-23                                                                                                                                                            
24#222;0JXPM9H46MG226344;5817.63;2021-11-13                                                                                                                                                            
24#223;7WNBC5K33XV210701;7245.11;2022-02-13                                                                                                                                                            
24#224;4NYQK9Q48JQ379080;3742.18;2024-05-23                                                                                                                                                            
24#225;3BBVJ4Z29QA284134;5906.04;2023-06-13                                                                                                                                                            
24#226;9YESH8W08XL829305;3124.98;2021-08-13                                                                                                                                                            
24#227;4OLRB8G69CY870613;3073.33;2022-09-27                                                                                                                                                            
24#228;0NJJF9T63MX931161;4602.3;2022-03-29                                                                                                                                                             
24#229;9HWZX6M38WG507519;3113.42;2023-09-23                                                                                                                                                            
24#230;5QEQL4N48RZ377830;6091.2;2024-08-08                                                                                                                                                             
24#231;2AOSD2K15MJ705077;3877.23;2021-10-27                                                                                                                                                            
24#232;3KRAN5S92BN774284;3749.55;2022-02-01                                                                                                                                                            
24#233;9XVOH5B54SD350336;4284.98;2022-08-04                                                                                                                                                            
24#234;1UNPR5O81XB376207;3895.22;2024-05-22                                                                                                                                                            
24#235;1ZHFV7Q73HX935562;6169.89;2023-03-06                                                                                                                                                            
24#236;5YBAY1M01BE244918;3628.64;2022-08-13                                                                                                                                                            
24#237;5XUTG6Q34CG243865;3536.8;2021-03-23                                                                                                                                                             
24#238;9RBYR3U54QG783636;7108.75;2023-08-09                                                                                                                                                            
24#239;4FLDQ4S68IF959966;5949.31;2024-03-13                                                                                                                                                            
24#240;9VLWR0L93YX395578;4835.39;2023-06-06                                                                                                                                                            
24#241;0XZYG2U51CJ081915;2863.98;2022-12-16                                                                                                                                                            
24#242;4ELAP2J67PL160490;4805.72;2020-12-10                                                                                                                                                            
24#243;0BHEK6Y78SY873922;4372.79;2021-12-10                                                                                                                                                            
24#244;8WIHT0P37MD325529;3705.09;2020-09-22                                                                                                                                                            
24#245;5RDSA5H23SZ992201;5875.38;2024-01-21                                                                                                                                                            
24#246;4NWPZ4Z53AC504546;4409.46;2024-08-03                                                                                                                                                            
24#247;0JOUU8M17ZY519313;6230.42;2022-11-27                                                                                                                                                            
24#248;9TERQ1Z31QQ899301;4386.7;2024-09-12                                                                                                                                                             
24#249;2VSVR1S17FO693799;5171.44;2020-06-09                                                                                                                                                            
24#250;0GPWT2Y15JI067930;3577.73;2024-06-21                                                                                                                                                            
24#251;6ZCCT1J96OB786142;3670.55;2020-11-22                                                                                                                                                            
24#252;3BQBF3Z90RI802600;4278.48;2020-12-07                                                                                                                                                            
24#253;3MEGJ5Y95PO517566;4131.26;2024-09-12                                                                                                                                                            
24#254;2TRCD7W48JK718558;3913.06;2023-11-10                                                                                                                                                            
24#255;4PFJM3S20DJ841042;3071.75;2023-03-14                                                                                                                                                            
24#256;2LHFT9S25QJ712774;5340.48;2023-11-19                                                                                                                                                            
24#257;1JMOQ4D76IU796625;4987.91;2020-02-12                                                                                                                                                            
24#258;2JQAH5R93ME878666;3780.13;2024-01-20                                                                                                                                                            
24#259;7BRDE7F98UU215246;5566.97;2023-06-19                                                                                                                                                            
24#260;2ZMYI1C07FO940803;5176.67;2021-07-26                                                                                                                                                            
24#261;9KLUR4G96OE878747;3324.73;2023-10-18                                                                                                                                                            
24#262;5MQXP9B78IA967908;3816.81;2020-08-14                                                                                                                                                            
24#263;1YVXD5W42TF231398;4941.95;2025-01-01                                                                                                                                                            
24#264;1QWOR5Q52WC991035;4105.65;2022-10-14                                                                                                                                                            
24#265;8CTZH0U16WP692483;4850.49;2022-06-01                                                                                                                                                            
24#266;5AFPG0V07ED023617;4072.22;2020-01-21                                                                                                                                                            
24#267;1PBRY3J78AP937676;3946.41;2022-03-14                                                                                                                                                            
24#268;6PDKV7J23DD755200;4358.61;2021-01-30                                                                                                                                                            
24#269;1UYJI4M20CF804587;6173.58;2024-09-21                                                                                                                                                            
24#270;3EXWP7G70IW025019;5033.97;2022-10-18                                                                                                                                                            
24#271;9KAYA2U83JT777264;3462.39;2024-07-10                                                                                                                                                            
24#272;6PQJC6Z09SI392343;5357.14;2022-03-09                                                                                                                                                            
24#273;9TZLY2V40PH925466;3041.16;2021-07-10                                                                                                                                                            
24#274;5PBFM0U40SH455040;3943.0;2024-12-15                                                                                                                                                             
24#275;3SLUP4K82FB791081;4315.74;2020-08-01                                                                                                                                                            
24#276;1BNQG3N43DA272487;7696.61;2024-09-05                                                                                                                                                            
24#277;9QEYP9I91TO114864;5577.27;2022-12-09                                                                                                                                                            
24#278;6DUDI8M46AC834397;3590.32;2023-09-06                                                                                                                                                            
24#279;3NNKR1P11TZ614976;3017.28;2020-12-20                                                                                                                                                            
24#280;0DEKS7K48ON411650;3698.22;2023-11-28                                                                                                                                                            
24#281;4SUXE3X60UP586806;6998.88;2022-05-31                                                                                                                                                            
24#282;3LNIW0X07BW007591;3181.56;2020-09-26                                                                                                                                                            
24#283;6LAFX2C23YC874032;4808.71;2023-08-23                                                                                                                                                            
24#284;0VOZQ5I54TO139893;4594.49;2023-04-05                                                                                                                                                            
24#285;9LYOU3M65VM964250;3900.69;2023-05-05                                                                                                                                                            
24#286;4GNDI9J10SI802878;4460.28;2022-10-21                                                                                                                                                            
24#287;3PNAH4G56LR349692;2798.33;2024-03-25                                                                                                                                                            
24#288;6VYOI2F39OS024512;4316.54;2024-01-08                                                                                                                                                            
24#289;7ABMX7E64OL157614;5155.97;2024-01-07                                                                                                                                                            
24#290;8PVAZ5F40RI996135;2581.64;2024-02-28                                                                                                                                                            
24#291;3HBHE8I33XA499263;3186.84;2024-01-22                                                                                                                                                            
24#292;9YBZR8E65HJ990438;3018.06;2022-12-24                                                                                                                                                            
24#293;5SKIR1F39KP217411;4726.55;2022-04-05                                                                                                                                                            
24#294;9AXEM0K54LR932395;5069.73;2023-12-24                                                                                                                                                            
24#295;8BFGW7A59ON785178;6153.63;2024-06-22                                                                                                                                                            
24#296;9EEBE5U53RS522062;5475.69;2020-07-02                                                                                                                                                            
24#297;6LAKA7E28FQ808102;5469.49;2024-10-20                                                                                                                                                            
24#298;2RRPI3G19TY646424;6814.87;2022-11-20                                                                                                                                                            
24#299;9IELI7H38BU193404;4873.69;2021-06-08                                                                                                                                                            
24#300;0YTLX8O95DM826415;5610.79;2023-05-19                                                                                                                                                            
24#301;7CCZA8L34CP074975;4289.65;2023-05-12                                                                                                                                                            
24#302;7MCDR3P61TC045187;6091.37;2022-02-16                                                                                                                                                            
24#303;4CZHW9O85NU941621;3575.79;2021-10-18                                                                                                                                                            
24#304;0OVDA1B21YQ254613;4366.18;2020-07-23                                                                                                                                                            
24#305;0ZLJB3D15MX811598;4730.78;2020-10-05                                                                                                                                                            
