vin;model;price;date_start;status                                                                                                                                                                      
7LVRQ4B98QL956483;342;2640.61;2023-03-02;delivery                                                                                                                                                      
4SSEO5J35WO437274;429;2216.51;2020-08-16;delivery                                                                                                                                                      
7QSSB9C06YK848890;347;2172.7;2020-02-26;available                                                                                                                                                      
6TBZU5L40BO530024;215;3212.3;2021-09-13;sold                                                                                                                                                           
7BNXC5B77PY486479;233;3982.09;2021-04-06;reserve                                                                                                                                                       
4JTEC7Y63HN606093;134;3839.1;2020-06-23;available                                                                                                                                                      
7CHJQ4B36FU665023;221;3352.87;2024-07-12;available                                                                                                                                                     
1VDGI2W54VN493439;324;3043.16;2020-05-15;sold                                                                                                                                                          
6TYSI8O50KN554798;497;3977.28;2023-09-17;available                                                                                                                                                     
7XHKL2I14UN764518;304;3604.09;2020-05-24;reserve                                                                                                                                                       
7SPGI0B41JZ233421;56;2874.48;2023-08-19;available                                                                                                                                                      
4UVMR9T89WR698053;146;2967.43;2020-12-09;reserve                                                                                                                                                       
4ZHBE5W77BN071106;275;2701.13;2023-09-24;sold                                                                                                                                                          
7TQVD5J28XB657107;274;2480.3;2020-10-08;available                                                                                                                                                      
1ZFFW6H10VR657044;445;3555.61;2020-05-01;sold                                                                                                                                                          
4FZQQ9X87DT811277;400;3053.24;2021-04-18;reserve                                                                                                                                                       
3HCBM2S08BY471524;74;2867.44;2021-08-16;available                                                                                                                                                      
5NYXE6I37NA013121;125;2332.84;2024-02-15;available                                                                                                                                                     
3CRIR4Y29VG753644;48;3080.33;2022-11-14;sold                                                                                                                                                           
6WRTT6D29WP700134;260;2191.65;2022-05-18;delivery                                                                                                                                                      
7OXJG7R42QE054309;114;3342.98;2020-11-07;delivery                                                                                                                                                      
3TBBS3X80HE706996;458;2983.6;2023-06-26;reserve                                                                                                                                                        
6NBVV3Y84GP336422;343;3858.21;2023-04-26;reserve                                                                                                                                                       
8GGUE3R20YH066657;327;2916.7;2023-01-21;sold                                                                                                                                                           
8ZWOC0T21AH621029;175;3934.49;2020-10-02;reserve                                                                                                                                                       
2XGUS1Q48TU741004;397;3583.49;2020-03-23;sold                                                                                                                                                          
6HLSS8D10YG515901;76;3519.94;2022-07-14;reserve                                                                                                                                                        
1MXEC6M90TZ885958;304;3913.73;2024-05-05;delivery                                                                                                                                                      
2JMMK8L14BZ004695;275;3357.46;2024-05-05;available                                                                                                                                                     
1ZBLF5O26BK202113;368;2319.9;2023-02-02;reserve                                                                                                                                                        
4WVCQ0B81UY208472;174;2399.47;2020-04-26;delivery                                                                                                                                                      
8MLFB3D62JQ246931;137;2949.28;2024-08-07;reserve                                                                                                                                                       
2QZJJ1B36BV223819;122;3826.75;2023-12-30;delivery                                                                                                                                                      
7GVNG7B47HG619699;388;2090.21;2022-05-16;available                                                                                                                                                     
8IJOH6E86LN986658;500;3813.14;2020-09-19;sold                                                                                                                                                          
0CNZS1N68SF767890;286;2406.51;2022-01-10;delivery                                                                                                                                                      
3IJEV3I20US822991;235;2571.83;2020-11-29;available                                                                                                                                                     
8OGWH4T41KU740780;142;2444.09;2022-06-14;sold                                                                                                                                                          
4GZOK6N38IH448028;337;2070.47;2021-02-16;reserve                                                                                                                                                       
3AIXY1R46AW077991;266;3761.96;2020-12-17;reserve                                                                                                                                                       
6CHRX9P61TH116392;391;3643.47;2023-03-20;reserve                                                                                                                                                       
1XTOD1G67RV589932;310;2746.42;2023-02-27;delivery                                                                                                                                                      
8GVNT8I45WR816765;80;3463.22;2022-06-29;sold                                                                                                                                                           
4GYMB7F95AP580795;466;2901.67;2023-09-06;available                                                                                                                                                     
8NTMO5Q26DN539533;56;3811.81;2020-10-12;reserve                                                                                                                                                        
8METB0H30UC801287;291;3265.22;2022-10-17;sold                                                                                                                                                          
9KAAG1L76QH672330;85;3807.99;2023-12-29;sold                                                                                                                                                           
9HSPL1M93LU752854;424;3135.94;2021-05-19;reserve                                                                                                                                                       
0FFWO7I59DS924819;212;3897.55;2020-01-11;available                                                                                                                                                     
3ACNB2J37LK503248;274;3979.71;2021-06-10;reserve                                                                                                                                                       
6IVSB8F54TG588594;424;3478.93;2023-09-01;reserve                                                                                                                                                       
8BRMT7F66LT966562;96;3444.12;2022-01-17;delivery                                                                                                                                                       
6GZBO1A35QK160863;82;2813.79;2021-10-09;reserve                                                                                                                                                        
9STLE3A56QZ128481;425;2952.29;2023-02-16;available                                                                                                                                                     
2IXMH0V55WM962488;105;2454.79;2021-12-24;delivery                                                                                                                                                      
4AYTM8F51NC579165;324;2246.11;2024-04-07;sold                                                                                                                                                          
5NPFT6C32VO740105;284;2612.44;2020-03-08;available                                                                                                                                                     
1AJRX2M14XK670566;435;3303.69;2020-02-14;delivery                                                                                                                                                      
7UWXV2J60ZW190811;253;3169.49;2020-08-31;reserve                                                                                                                                                       
6SFUO5O48YX891010;277;2940.39;2022-12-01;delivery                                                                                                                                                      
2RDBG2D98CP428822;135;2856.33;2020-09-18;available                                                                                                                                                     
1TNSO3W54RK114779;18;2472.39;2022-03-27;reserve                                                                                                                                                        
8WSQR2Z48KN409187;237;3308.89;2020-04-24;delivery                                                                                                                                                      
3UCYO4Q61PK974418;308;2799.84;2020-09-05;available                                                                                                                                                     
0JCQI3F83YR017953;33;2443.93;2021-10-01;sold                                                                                                                                                           
5AGYE8N19BR257072;127;3342.58;2021-11-18;available                                                                                                                                                     
2KPYW3W59QE494993;50;2290.1;2021-10-10;reserve                                                                                                                                                         
3THBP8W57CT557915;38;2232.7;2023-08-07;available                                                                                                                                                       
1NDUT5T42RA596540;289;2278.09;2021-05-02;sold                                                                                                                                                          
6XFCL4S16RD049648;274;2185.6;2024-02-19;available                                                                                                                                                      
1ABDL4T99XG950588;311;2655.67;2021-08-18;available                                                                                                                                                     
6OKGZ1O15QA773000;19;3380.38;2020-02-27;available                                                                                                                                                      
7SZHM7X11UR920648;438;3521.21;2020-04-27;delivery                                                                                                                                                      
1ZVNO9N03AE505682;249;3230.18;2020-12-28;available                                                                                                                                                     
7BZUS9I03UD475427;92;3675.79;2020-12-09;available                                                                                                                                                      
9UURC2U68LI568422;48;3066.85;2022-11-08;reserve                                                                                                                                                        
2JARN2A78EM580863;427;3373.41;2020-06-04;reserve                                                                                                                                                       
5ZBBF5J46YE388197;273;2501.54;2021-01-08;reserve                                                                                                                                                       
9QDNX8A02OX263688;233;2971.3;2024-05-07;reserve                                                                                                                                                        
4EOTM4Y54FQ891289;151;2137.78;2020-07-17;delivery                                                                                                                                                      
5VGJB3N12KB948112;421;2665.07;2020-12-06;delivery                                                                                                                                                      
5EMMJ7Z87AT605422;176;3036.08;2021-11-06;available                                                                                                                                                     
8PZMC8I99LV162360;208;3247.8;2023-11-05;sold                                                                                                                                                           
8LCLZ9E51CX926610;129;3330.4;2023-10-15;available                                                                                                                                                      
2CMFM4I90ZK280430;339;2728.48;2021-12-01;reserve                                                                                                                                                       
5ZGOC0G96HR210469;378;2616.49;2024-07-15;reserve                                                                                                                                                       
5AQYQ9B63QH573286;385;2536.18;2023-09-29;reserve                                                                                                                                                       
3ZATT7N81YP211380;51;2569.73;2021-02-02;sold                                                                                                                                                           
1JHYP5K95XZ538392;317;2447.41;2023-01-11;reserve                                                                                                                                                       
6ZMJW5Y06FX132302;28;2859.67;2021-01-30;available                                                                                                                                                      
6NWLD7Q96QJ165491;486;3458.61;2024-03-20;sold                                                                                                                                                          
8GLVH6T70RM460637;230;3113.24;2022-11-11;sold                                                                                                                                                          
4VGNX2G21ZI689698;383;2561.14;2023-01-30;reserve                                                                                                                                                       
4GCBJ3A76WG233308;135;2758.59;2023-02-10;delivery                                                                                                                                                      
1FAYT9A40KX089345;58;2341.06;2022-11-28;sold                                                                                                                                                           
1ZOLT3A07DE673314;72;2000.0;2022-10-31;reserve                                                                                                                                                         
4JPKN3R25FL036730;384;2661.42;2023-05-03;available                                                                                                                                                     
2AHUV6L04RT963846;225;3167.61;2021-08-26;available                                                                                                                                                     
7PQSV9B96FW511882;67;3909.58;2021-10-25;reserve                                                                                                                                                        
1VKSH8Y10XG319157;359;3998.09;2021-08-24;reserve                                                                                                                                                       
2CLMQ4C36GS103560;311;3011.03;2023-01-28;available                                                                                                                                                     
2BILU1R12SK517803;250;2655.25;2021-05-31;sold                                                                                                                                                          
7IOVM6U29KT705042;457;2291.97;2022-04-17;sold                                                                                                                                                          
2IYIO9L19BW486759;257;3925.53;2024-03-12;reserve                                                                                                                                                       
1ZHHH6Z34HP804254;167;3450.44;2024-04-24;reserve                                                                                                                                                       
3NDCX1I33RP387822;461;3657.45;2023-12-30;available                                                                                                                                                     
7IQAI5D45HS569623;16;2061.63;2021-11-23;reserve                                                                                                                                                        
0SBUQ1Z72IC232459;472;2892.74;2023-02-19;available                                                                                                                                                     
9OPPX4G98LC077973;84;3007.58;2024-05-10;reserve                                                                                                                                                        
6JKVL7S30FS784114;154;3971.36;2024-01-06;available                                                                                                                                                     
5AGYD1A40BG549398;410;3435.63;2024-01-01;reserve                                                                                                                                                       
1ZYHT0W19TN955927;263;3399.7;2022-09-26;available                                                                                                                                                      
3QEAZ2B97YD256672;278;2122.96;2023-07-06;sold                                                                                                                                                          
8CSFZ5Q44SK249212;17;2788.55;2023-03-08;reserve                                                                                                                                                        
1JMXJ1I45OX619247;155;3347.61;2023-07-10;available                                                                                                                                                     
7XHRB8R07BE690925;494;3495.06;2020-12-12;sold                                                                                                                                                          
8MERJ9U20AF876163;407;2305.68;2022-06-05;available                                                                                                                                                     
3PTGK4Y84AZ163739;188;3524.02;2021-04-22;delivery                                                                                                                                                      
8ZAWZ7K42DJ591856;107;3353.82;2022-05-28;available                                                                                                                                                     
3BWHD1Y19TE275542;49;2801.01;2021-06-07;sold                                                                                                                                                           
6IBKV1L30VY712651;445;2696.44;2020-08-27;sold                                                                                                                                                          
0XSXX0B65UX832724;116;2733.01;2020-09-06;delivery                                                                                                                                                      
0NXCE9N14VQ768272;130;3901.82;2023-11-22;delivery                                                                                                                                                      
3SCHN3X02MT819922;377;2349.55;2024-04-01;reserve                                                                                                                                                       
0DMZZ8X95MN774804;501;2014.19;2023-07-19;reserve                                                                                                                                                       
5RXLW0N91TR038699;318;3021.01;2022-09-26;available                                                                                                                                                     
3QUBX5P23IC158540;293;2265.11;2023-03-20;delivery                                                                                                                                                      
3IPIX8T41GC103386;285;3132.57;2020-08-13;sold                                                                                                                                                          
8WNGS7K82TA553586;500;2219.53;2020-11-08;available                                                                                                                                                     
4DJRL7L00FY169584;62;2265.79;2022-02-22;delivery                                                                                                                                                       
0LQTB4H79TT410812;378;3188.12;2021-12-29;delivery                                                                                                                                                      
2QSSR2C95RG832066;51;3016.75;2020-04-17;reserve                                                                                                                                                        
5DXPX6T44UR769198;1;3485.03;2020-12-01;delivery                                                                                                                                                        
4SDJR4K90EY038245;345;3817.86;2021-03-21;reserve                                                                                                                                                       
6EXBL0Q53OJ484608;67;2513.89;2022-01-01;reserve                                                                                                                                                        
5NFZP7J73TD591987;6;3405.85;2022-10-20;sold                                                                                                                                                            
5KSVH1T00BR628324;443;3227.68;2021-07-05;delivery                                                                                                                                                      
5VRGL8X69SE473890;287;3757.8;2021-11-23;reserve                                                                                                                                                        
9TLNV5A19EF897777;433;3863.78;2024-07-20;reserve                                                                                                                                                       
0GWHX1B76ZB196926;369;3195.58;2020-03-25;sold                                                                                                                                                          
9XOSR4I56FT028771;87;3682.78;2021-02-11;available                                                                                                                                                      
4JYCM2E51PC431647;376;3826.25;2024-02-05;sold                                                                                                                                                          
8RCLL5K70WG567886;414;3275.99;2024-03-14;delivery                                                                                                                                                      
4FPKO6Y13SX902744;40;2946.04;2023-04-30;available                                                                                                                                                      
8FIGJ1T05KQ485282;77;2843.95;2023-12-14;available                                                                                                                                                      
2URGZ2T14IP387312;411;3088.74;2023-11-27;sold                                                                                                                                                          
0XDBR2J72SP609236;46;2013.73;2021-09-01;available                                                                                                                                                      
8MPZR7L09SY479832;298;3215.29;2022-05-21;sold                                                                                                                                                          
2JBQV4Z68ZM968668;319;3637.43;2024-07-02;reserve                                                                                                                                                       
3CSMH5C05EM954130;490;3261.41;2020-06-03;sold                                                                                                                                                          
6SBMS3U35FF519781;32;3715.65;2021-09-18;delivery                                                                                                                                                       
8YGVX2L21DR481259;195;2238.32;2022-03-27;sold                                                                                                                                                          
2RGPK2P91PJ942644;135;3209.42;2021-04-15;available                                                                                                                                                     
0LDCU4J95ZH293242;100;3833.21;2021-01-29;available                                                                                                                                                     
6NPJV9Z38TN669662;470;2969.93;2020-12-28;sold                                                                                                                                                          
9FBZH4N54QC320453;339;3218.43;2024-05-09;available                                                                                                                                                     
1OQHU9U36EP893141;233;2886.44;2024-08-22;reserve                                                                                                                                                       
2TLEA3R85RQ364128;390;2657.97;2023-01-27;delivery                                                                                                                                                      
1DDPS1D13PD549751;370;2661.64;2024-01-17;sold                                                                                                                                                          
3RXWT5G96GS083223;118;2555.53;2024-04-19;sold                                                                                                                                                          
8JYVW7E97DX247719;442;3698.57;2022-08-07;sold                                                                                                                                                          
1BJHF6S82TS538466;430;3828.22;2020-06-22;sold                                                                                                                                                          
5STXS2H69LI006076;57;3719.25;2022-03-07;available                                                                                                                                                      
9GENB4I45UN994364;372;3562.32;2022-03-26;delivery                                                                                                                                                      
2UQAO8I64DD121630;106;3518.82;2021-11-11;sold                                                                                                                                                          
7ZXDF3B00OZ677542;354;3960.14;2021-02-02;sold                                                                                                                                                          
8JVZB4E82HI903434;472;3419.56;2023-12-28;reserve                                                                                                                                                       
0PYXG9Z63FK248252;466;3102.65;2021-11-13;delivery                                                                                                                                                      
5QJRX7W15DA715538;414;2364.7;2024-03-10;available                                                                                                                                                      
3SSCL9K78FQ860022;242;3700.62;2020-03-04;sold                                                                                                                                                          
0XVFK8H93IW479514;488;2481.36;2024-05-07;sold                                                                                                                                                          
2UPCA4T30UN159401;499;3974.65;2021-07-23;reserve                                                                                                                                                       
6QHHR5X23KR595394;399;3146.06;2022-05-18;reserve                                                                                                                                                       
4JZES6Y54IP220627;83;2864.91;2022-01-21;reserve                                                                                                                                                        
4RYXH9I77IA303377;402;3372.41;2023-07-28;reserve                                                                                                                                                       
1WSUE4G08ZG538809;447;2814.55;2024-08-10;delivery                                                                                                                                                      
1LSZT7A05OH376853;493;3928.44;2021-06-26;reserve                                                                                                                                                       
7SQWT4F15PJ299388;448;2283.12;2021-10-10;delivery                                                                                                                                                      
9ORRG5B66PA662066;259;3269.36;2021-02-13;reserve                                                                                                                                                       
2FJOQ1R92QF706127;405;2309.06;2022-03-02;delivery                                                                                                                                                      
9DDIY6E24HL106904;399;3679.14;2021-08-14;reserve                                                                                                                                                       
5AUHO4F07XH891937;196;2910.72;2024-02-23;available                                                                                                                                                     
5BXZL3W03YR777125;56;2883.92;2022-01-10;reserve                                                                                                                                                        
2PGSE2Y44OI212601;147;3078.75;2022-11-20;delivery                                                                                                                                                      
4OIUK1P94XW968719;231;2621.46;2023-01-05;sold                                                                                                                                                          
6JMLG0H07GL144732;273;2429.45;2020-02-23;available                                                                                                                                                     
0IYLP3R36SR264645;93;2415.58;2022-12-05;available                                                                                                                                                      
1FGWH9N22JN037163;293;2524.87;2021-01-10;available                                                                                                                                                     
2YPTU6A42AJ011386;48;2020.75;2021-11-04;sold                                                                                                                                                           
4FVDW5L57RI073058;219;3221.14;2021-02-25;reserve                                                                                                                                                       
8VQMQ1G08RF543559;15;2115.56;2022-04-02;delivery                                                                                                                                                       
8LDQZ8H37VE887012;243;3085.51;2020-09-28;delivery                                                                                                                                                      
9XISR9E62PZ304031;487;3429.14;2023-02-09;delivery                                                                                                                                                      
2NWDI0B15JZ274627;488;2759.44;2020-04-01;delivery                                                                                                                                                      
3CVIM1Q55KI736154;420;2184.69;2021-04-17;sold                                                                                                                                                          
4YUGO0H39BW039275;293;2491.35;2022-09-08;sold                                                                                                                                                          
4YAWQ1A69LZ256259;67;2103.88;2024-04-16;sold                                                                                                                                                           
8SCRC7R03WU402130;89;3753.07;2023-01-19;available                                                                                                                                                      
1QCUA8A25QK457809;213;2076.55;2023-01-05;delivery                                                                                                                                                      
7BQZA7O20CB177362;216;2138.37;2020-06-28;sold                                                                                                                                                          
3JTJY7B12OH230450;110;2056.12;2020-01-12;available                                                                                                                                                     
6DYIG6A40HH619032;2;3747.14;2023-04-05;sold                                                                                                                                                            
6XHKB7S73WL305566;163;2969.68;2024-01-11;available                                                                                                                                                     
1UJPS6W27MD670736;471;2802.09;2024-02-09;delivery                                                                                                                                                      
1DFHE3F74VP155097;418;3039.27;2020-02-12;available                                                                                                                                                     
6RGHF7K46OV971291;136;2092.03;2023-11-10;available                                                                                                                                                     
9AVGZ9V08HW337956;365;3469.08;2022-04-14;available                                                                                                                                                     
8XUZS3B19GK779467;85;3807.13;2020-11-25;delivery                                                                                                                                                       
8FMVS0H63QS424058;125;2076.32;2022-03-24;available                                                                                                                                                     
4ITFJ2C03ES695598;136;2832.12;2021-12-15;reserve                                                                                                                                                       
5SHQI9J03CF904684;137;3307.26;2022-01-19;delivery                                                                                                                                                      
7QUVB0U06KL535188;470;3249.73;2020-06-21;sold                                                                                                                                                          
6WRFT9X40FS313927;430;3954.53;2021-05-12;sold                                                                                                                                                          
8HGAI8X28DQ054690;55;3345.54;2022-05-06;delivery                                                                                                                                                       
1AEDA9Q99HD999676;219;2463.77;2024-07-26;reserve                                                                                                                                                       
9MPAN8L46QB076263;351;2592.45;2024-03-27;available                                                                                                                                                     
7YLAC2K54RB332141;482;2430.06;2021-10-30;reserve                                                                                                                                                       
2VNXA7L06CO219688;127;3701.98;2020-04-30;available                                                                                                                                                     
9FQRI4A51CW458945;303;3937.12;2023-05-16;delivery                                                                                                                                                      
5PHPF1D61QU456487;219;2698.02;2021-02-22;delivery                                                                                                                                                      
7SXIK7N49RT078805;172;3379.97;2021-11-03;sold                                                                                                                                                          
5TQZV9D28WN869366;210;2193.81;2020-04-21;sold                                                                                                                                                          
5LUYB2L10VH323039;365;3021.5;2022-06-19;sold                                                                                                                                                           
7LYPZ5V71MS709956;170;3030.27;2020-03-17;available                                                                                                                                                     
6UGTB0Q80RJ745521;381;2662.65;2020-12-24;reserve                                                                                                                                                       
